,contract_address,evt_tx_hash,evt_tx_from,evt_tx_to,evt_index,evt_block_time,evt_block_number,evt_block_date,calldatas,description,endBlock,proposalData,proposalId,proposalType,proposer,signatures,startBlock,targets,values,votingModule
0,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0x30fb20241ffe79b6765def34f4307993efe33afc7c4e8d5241b96f7a548953c0,0x47c88bb92b409ff25f6587ea611fac4e55f76007,0xe4553b743e74da3424ac51f8c1e586fd43ae226f,190,2024-02-29 19:39:35.000 UTC,116818399.0,2024-02-29,[0x],"# Protocol Upgrade #5: Ecotone Network Upgrade
This is a proposal for the Ecotone network upgrade, which adopts EIP-4844 blobs for data availability and activates Dencun L1 extensions. The remaining changes in this upgrade bring the core improvements from the L1 Dencun hardfork into the OP stack, including new opcodes and the beacon root support. While blob data availability requires L1 Dencun activation, the Ecotone upgrade can be activated independently of it.

If this vote passes, the Ecotone upgrade will be scheduled for execution on March 14th at 00:00:01 UTC. 

The upgrade will occur automatically for nodes on a release which contains the baked in activation time. Ecotone is code complete in the optimism monorepo at commit f707883038d527cbf1e9f8ea513fe33255deadbc and op-geth at commit 0402d543c3d0cff3a3d344c0f4f83809edb44f10. 

This proposal is eligible for Voting Cycle #19: 
<https://gov.optimism.io/t/upgrade-proposal-5-ecotone-network-upgrade/7669>


If passed in the Token House, it will proceed to a veto period in the Citizens’ House. ",117077599,<nil>,62092202168195773894923954988192064013015536031851396683038331347078793897464,0,0xe4553b743e74da3424ac51f8c1e586fd43ae226f,[],116818399,[0x0000000000000000000000000000000000000000],[0],<nil>
1,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0x70b9f4dd27d551c12f0169e87626c3564d46c1318210c89065ff276970c267e1,0x47c88bb92b409ff25f6587ea611fac4e55f76007,0xe4553b743e74da3424ac51f8c1e586fd43ae226f,272,2024-02-29 19:47:57.000 UTC,116818650.0,2024-02-29,[0x],"# Protocol Upgrade #6: Multi-Chain Prep (MCP) L1
Upgrade proposal: MCP - This protocol upgrade strengthens the security and upgradeability of the Superchain by enabling L1 contracts to be upgraded atomically across multiple chains in a single transaction. This upgrade also extends the SystemConfig to contain the addresses of the contracts in the network, allowing users to discover the system’s contract addresses programmatically.

The upgrade is code complete as of commit [e6ef3a900c42c8722e72c2e2314027f85d12ced5](https://github.com/ethereum-optimism/optimism/commit/e6ef3a900c42c8722e72c2e2314027f85d12ced5) ([release](https://github.com/ethereum-optimism/optimism/releases/tag/op-contracts%2Fv1.3.0-rc.1) and [tag](https://github.com/ethereum-optimism/optimism/tree/op-contracts/v1.3.0-rc.1)) in the Optimism monorepo.

This proposal is eligible for Voting Cycle #19: 
<https://gov.optimism.io/t/upgrade-proposal-6-multi-chain-prep-mcp-l1/7677>

If passed in the Token House, it will proceed to a veto period in the Citizens’ House. ",117077850,<nil>,27821243076957305012707713934587003414742773107891806047636636540352925014010,0,0xe4553b743e74da3424ac51f8c1e586fd43ae226f,[],116818650,[0x0000000000000000000000000000000000000000],[0],<nil>
2,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0xf862cc30322e61461bbfa5eb0e9f43e967eb986283785c82ab953f0208eb562f,0x47c88bb92b409ff25f6587ea611fac4e55f76007,0xa1dabef33b3b82c7814b6d82a79e50f4ac44102b,40,2024-02-29 21:51:37.000 UTC,116822360.0,2024-02-29,[0x],"# Protocol Upgrade #6: Multi-Chain Prep (MCP) L1
Upgrade proposal: MCP - This protocol upgrade strengthens the security and upgradeability of the Superchain by enabling L1 contracts to be upgraded atomically across multiple chains in a single transaction. This upgrade also extends the SystemConfig to contain the addresses of the contracts in the network, allowing users to discover the system’s contract addresses programmatically.
The upgrade is code complete as of commit [e6ef3a900c42c8722e72c2e2314027f85d12ced5](https://github.com/ethereum-optimism/optimism/commit/e6ef3a900c42c8722e72c2e2314027f85d12ced5) ([release](https://github.com/ethereum-optimism/optimism/releases/tag/op-contracts%2Fv1.3.0-rc.1) and [tag](https://github.com/ethereum-optimism/optimism/tree/op-contracts/v1.3.0-rc.1)) in the Optimism monorepo.

This proposal is eligible for Voting Cycle #19: 
<https://gov.optimism.io/t/upgrade-proposal-6-multi-chain-prep-mcp-l1/7677>

If passed in the Token House, it will proceed to a veto period in the Citizens’ House. 
",117081560,<nil>,47253113366919812831791422571513347073374828501432502648295761953879525315523,1,0xe4553b743e74da3424ac51f8c1e586fd43ae226f,[],116822360,[0x0000000000000000000000000000000000000000],[0],<nil>
3,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0xf862cc30322e61461bbfa5eb0e9f43e967eb986283785c82ab953f0208eb562f,0x47c88bb92b409ff25f6587ea611fac4e55f76007,0xa1dabef33b3b82c7814b6d82a79e50f4ac44102b,37,2024-02-29 21:51:37.000 UTC,116822360.0,2024-02-29,[0x],"# Protocol Upgrade #5: Ecotone Network Upgrade
This is a proposal for the Ecotone network upgrade, which adopts EIP-4844 blobs for data availability and activates Dencun L1 extensions. The remaining changes in this upgrade bring the core improvements from the L1 Dencun hardfork into the OP stack, including new opcodes and the beacon root support. While blob data availability requires L1 Dencun activation, the Ecotone upgrade can be activated independently of it.

If this vote passes, the Ecotone upgrade will be scheduled for execution on March 14th at 00:00:01 UTC. 

The upgrade will occur automatically for nodes on a release which contains the baked in activation time. Ecotone is code complete in the optimism monorepo at commit f707883038d527cbf1e9f8ea513fe33255deadbc and op-geth at commit 0402d543c3d0cff3a3d344c0f4f83809edb44f10. 

This proposal is eligible for Voting Cycle #19: 
<https://gov.optimism.io/t/upgrade-proposal-5-ecotone-network-upgrade/7669>


If passed in the Token House, it will proceed to a veto period in the Citizens’ House. 
",117081560,<nil>,95119698597711750186734377984697814101707190887694311194110013874163880701970,1,0xe4553b743e74da3424ac51f8c1e586fd43ae226f,[],116822360,[0x0000000000000000000000000000000000000000],[0],<nil>
4,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0xab85790d60ee7aadcddb02842bbb50d4fa9535b2ae83e84d61a23c35f496a996,0x84fb5b7a35cb08a5c8a14d8aac537436027d6c5b,0xe4553b743e74da3424ac51f8c1e586fd43ae226f,52,2024-04-11 18:53:31.000 UTC,118631417.0,2024-04-11,[0x],"# Governor Update #1: Improve advanced delegation voting 
This update enables voters with advanced delegated voting power to cast their votes in a single transaction. This enhancement addresses user feedback on the advanced delegation feature, simplifying the voting process.

If approved by governance, the Optimism Foundation admin will set the governor proxy to a new implementation deployed at 0x637DA4Eeac836188D8C46F63Cb2655f4d3C9F893.


This proposal is eligible for Voting Cycle #21: 
<https://gov.optimism.io/t/proposal-improve-advanced-delegation-voting/7932/1>
",118890617,<nil>,43431989468661837394136288041284191617425689076936311610313173525570196928460,1,0xe4553b743e74da3424ac51f8c1e586fd43ae226f,[],118631417,[0x0000000000000000000000000000000000000000],[0],<nil>
5,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0x956226f5c2d2d4af1a5a6c555860ec13b469e90c5b58f0186aaac0a99e7fbe9c,0x84fb5b7a35cb08a5c8a14d8aac537436027d6c5b,0xe4553b743e74da3424ac51f8c1e586fd43ae226f,53,2024-04-11 18:56:21.000 UTC,118631502.0,2024-04-11,[0x],"# Season 5: Intents Budget Proposal #2 
This proposal seeks to reallocate 1,040,000 OP from the Gov Fund to support Mission Requests with strong demand rather than returning that OP to the Gov Fund. 


This proposal is eligible for Voting Cycle #21: 
<https://gov.optimism.io/t/season-5-intents-budget-proposal-2/7937>
",118890702,<nil>,71198450000124943585774001801721401846102684730841253382435346479356472263066,1,0xe4553b743e74da3424ac51f8c1e586fd43ae226f,[],118631502,[0x0000000000000000000000000000000000000000],[0],<nil>
6,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0x4c023d7128b3e6de7483fe0003dc3f139981cf61b576f1c76cfc65b8d7221a58,0xbfa271c93add95e6dcec0cfbb89dc05a867eab3c,0xe4553b743e74da3424ac51f8c1e586fd43ae226f,27,2024-04-11 20:43:07.000 UTC,118634705.0,2024-04-11,[0x],"# Season 5 : Intents Budget Proposal #2 
This proposal seeks to reallocate 1,040,000 OP from the Gov Fund to support Mission Requests with strong demand rather than returning that OP to the Gov Fund. 


This proposal is eligible for Voting Cycle #21: 
<https://gov.optimism.io/t/season-5-intents-budget-proposal-2/7937>
",118893905,<nil>,79153197521552675573175103134699879266644135524341625272698131484806349525411,0,0xe4553b743e74da3424ac51f8c1e586fd43ae226f,[],118634705,[0x0000000000000000000000000000000000000000],[0],<nil>
7,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0x9d2664ead82817363000469a3267776d846d1f8cb0849ccf1f4d1c96d607f0a6,0xbfa271c93add95e6dcec0cfbb89dc05a867eab3c,0xe4553b743e74da3424ac51f8c1e586fd43ae226f,200,2024-04-11 21:06:21.000 UTC,118635402.0,2024-04-11,[0x],"# Governor Upgrade #1: Improve advanced delegation voting 
This update enables voters with advanced delegated voting power to cast their votes in a single transaction. This enhancement addresses user feedback on the advanced delegation feature, simplifying the voting process.

If approved by governance, the Optimism Foundation admin will set the governor proxy to a new implementation deployed at 0x637DA4Eeac836188D8C46F63Cb2655f4d3C9F893.


This proposal is eligible for Voting Cycle #21: 
<https://gov.optimism.io/t/proposal-improve-advanced-delegation-voting/7932/1>
",118894602,<nil>,63758762292293008954414933414904836930778692439616923618399126968620365661274,1,0xe4553b743e74da3424ac51f8c1e586fd43ae226f,[],118635402,[0x0000000000000000000000000000000000000000],[0],<nil>
8,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0x6778878609a53306b4abd2610c713b15645d92e1ab5b4c2c39080abba8fcabfb,0xbfa271c93add95e6dcec0cfbb89dc05a867eab3c,0xa1dabef33b3b82c7814b6d82a79e50f4ac44102b,66,2024-05-23 19:05:57.000 UTC,120446190.0,2024-05-23,[0x],"# Season 6: Intent Budgets 
Intents are high-level strategic goals for the Collective. Each Intent is equipped with a Seasonal budget. The Foundation has proposed the below budgets under relevant Intents for Season 6. 

Intent 1: Progress Towards Decentralization
Proposed Gov Fund Budget: 500k OP

Please note that the Gov Fund will not support technical decentralization under Intent #1 in Season 6.


Intent 3: Grow Application Devs on the Superchain
Proposed Gov Fund Budget: 18M OP, broken down as below: 

Intent 3A: 6M OP for grants supporting OP Mainnet
Intent 3B: 12M OP for chain-specific grant programs supporting the Superchain (to be run by these Chains).

https://gov.optimism.io/t/season-6-intents-ratification/8104",120705390,<nil>,17978891780730403376003321852165590938327948008084254963638289853163672435172,0,0xe4553b743e74da3424ac51f8c1e586fd43ae226f,[],120446190,[0x0000000000000000000000000000000000000000],[0],<nil>
9,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0x6778878609a53306b4abd2610c713b15645d92e1ab5b4c2c39080abba8fcabfb,0xbfa271c93add95e6dcec0cfbb89dc05a867eab3c,0xa1dabef33b3b82c7814b6d82a79e50f4ac44102b,63,2024-05-23 19:05:57.000 UTC,120446190.0,2024-05-23,[0x],"# Season 6: Intents Ratification 
Intents are high-level strategic goals for the Collective. As the Collective grows and these goals extend to the broader Superchain ecosystem, the Foundation will propose all Intents for Season 6. These Intents must be ratified by the full Token House. Ratification implies support of these strategic goals for Season 6. 

Intent 1: Progress Towards Decentralization
The Collective must continue progressing towards decentralized, scalable compute. This includes both technical and governance decentralization. 


Intent 2: Bring Chains to the Superchain
The focus of Intent #2 is growing the Superchain, by expanding the network of OP Chains contributing to the Collective. This strategy should allow the Collective to grow faster, go farther, and scale Ethereum more effectively.


Intent 3: Grow Application Devs on the Superchain
The goal is to grow application developers across all OP Chains. This supports developers globally in building demand-generating applications on any OP Chain in the Superchain.

This proposal is eligible for Special Voting Cycle #23a: <https://gov.optimism.io/t/season-6-intents-ratification/8104>",120705390,<nil>,46662599590868619415724059715206858415123913604990481279137083354870809650669,0,0xe4553b743e74da3424ac51f8c1e586fd43ae226f,[],120446190,[0x0000000000000000000000000000000000000000],[0],<nil>
