,vote_type,proposal_id,title,voted_choice,voting_power
101,token_house,0x408ac8d6e74febd74a11371d66ba40ab58fcaf0eb70c34c449731651e0222d32,Proposal G: Governance Fund Phase 1 - Summa,ABSTAIN,3219770.965802407
102,token_house,0x408ac8d6e74febd74a11371d66ba40ab58fcaf0eb70c34c449731651e0222d32,Proposal G: Governance Fund Phase 1 - Summa,FOR,378094.1094017974
103,token_house,0x474cbf8c806f30d016ea4ca0ad3fb5605391df6a3fa34a1aead7df61a9e4cc28,Season 2: Cycle 8: Agora,FOR,15316702.185844291
104,token_house,0x474cbf8c806f30d016ea4ca0ad3fb5605391df6a3fa34a1aead7df61a9e4cc28,Season 2: Cycle 8: Agora,ABSTAIN,310935.60315506614
105,token_house,0x474cbf8c806f30d016ea4ca0ad3fb5605391df6a3fa34a1aead7df61a9e4cc28,Season 2: Cycle 8: Agora,AGAINST,115581.48451671087
106,token_house,0x4e3e7bec358c9e2fc2f6b24be15cbd2bc13e31c1eff82151e6566b6b779ffbd4,Season 2: Cycle 8: Arrakis ,AGAINST,12188566.811318949
107,token_house,0x4e3e7bec358c9e2fc2f6b24be15cbd2bc13e31c1eff82151e6566b6b779ffbd4,Season 2: Cycle 8: Arrakis ,ABSTAIN,913080.3497694985
108,token_house,0x4e3e7bec358c9e2fc2f6b24be15cbd2bc13e31c1eff82151e6566b6b779ffbd4,Season 2: Cycle 8: Arrakis ,FOR,375572.0991908527
109,token_house,0x58c408348473856bdd0f8fcdde26936a3f828a33bdb91d5a5e4286237c9ba397,DeFi Committee [Group A],FOR,9162108.635132099
110,token_house,0x58c408348473856bdd0f8fcdde26936a3f828a33bdb91d5a5e4286237c9ba397,DeFi Committee [Group A],ABSTAIN,5157486.110662232
111,token_house,0x58c408348473856bdd0f8fcdde26936a3f828a33bdb91d5a5e4286237c9ba397,DeFi Committee [Group A],AGAINST,127038.84403916184
112,token_house,0x59019f6c2d82b7a2f66d19ef08997a99be48527fcc55b6b597a8be0d270cc5a4,Proposal B: Governance Phase 1 - Boardroom,FOR,18118327.701673195
113,token_house,0x59019f6c2d82b7a2f66d19ef08997a99be48527fcc55b6b597a8be0d270cc5a4,Proposal B: Governance Phase 1 - Boardroom,AGAINST,137011.8183213361
114,token_house,0x59019f6c2d82b7a2f66d19ef08997a99be48527fcc55b6b597a8be0d270cc5a4,Proposal B: Governance Phase 1 - Boardroom,ABSTAIN,82620.68850940437
115,token_house,0x5a35edacc5f2412fbcceb778c671a0a94b76b700812e89212dab9e01255cdf00,Proposal C: Governance Fund Phase 1 - GYSR ,AGAINST,15545497.463265732
116,token_house,0x5a35edacc5f2412fbcceb778c671a0a94b76b700812e89212dab9e01255cdf00,Proposal C: Governance Fund Phase 1 - GYSR ,ABSTAIN,2189323.947589658
117,token_house,0x5a35edacc5f2412fbcceb778c671a0a94b76b700812e89212dab9e01255cdf00,Proposal C: Governance Fund Phase 1 - GYSR ,FOR,448584.98692010046
118,token_house,0x5d3f7aca80dac05c70eae279551d3c8baed64fdfbc52c7cd1e7dfeeba6baf207,Tooling & Infrastructure Committee [Group A],FOR,11499281.810137074
119,token_house,0x5d3f7aca80dac05c70eae279551d3c8baed64fdfbc52c7cd1e7dfeeba6baf207,Tooling & Infrastructure Committee [Group A],ABSTAIN,2642994.6881791274
120,token_house,0x5d3f7aca80dac05c70eae279551d3c8baed64fdfbc52c7cd1e7dfeeba6baf207,Tooling & Infrastructure Committee [Group A],AGAINST,64120.591710424356
121,token_house,0x5e8280af9c314519d63093f2bffe7194e469e0d0bf1c89e828c63d1469166866,Proposal E: Governance Fund Phase 1 - Raptor,AGAINST,17509493.85658589
122,token_house,0x5e8280af9c314519d63093f2bffe7194e469e0d0bf1c89e828c63d1469166866,Proposal E: Governance Fund Phase 1 - Raptor,FOR,576652.5748367108
123,token_house,0x5e8280af9c314519d63093f2bffe7194e469e0d0bf1c89e828c63d1469166866,Proposal E: Governance Fund Phase 1 - Raptor,ABSTAIN,82599.2072300657
124,token_house,0x5efa2c3fe01997cfc5e6aef5911ccb46f6ea1a383d287cc1289671c86bfcd158,Proposal J: Governance Fund Phase 1 - Ooki Protocol,AGAINST,17118763.74708569
