,contract_address,evt_tx_hash,evt_tx_from,evt_tx_to,evt_index,evt_block_time,evt_block_number,evt_block_date,proposalId,reason,support,voter,weight
0,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0x9da996a598badb32e0cf1a38554cef3d6b202159015a8111a3f2cff3cd869509,0x098e5d99a4abce070910f640ad4a6b65f9f43fbe,0xcdf27f107725988f2261ce2256bdfcde8b382b10,1,2024-05-26 05:50:27.000 UTC,120551925.0,2024-05-26,23296680451920040311284556255465306513981293154669425902294655221457403608367,,1,0x098e5d99a4abce070910f640ad4a6b65f9f43fbe,136045830423247375980
1,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0xd9291fc26e6a198b4d96d1ed20088da3400d5008f25a5f9325c1508f4fd57428,0x098e5d99a4abce070910f640ad4a6b65f9f43fbe,0xcdf27f107725988f2261ce2256bdfcde8b382b10,9,2024-05-26 05:50:01.000 UTC,120551912.0,2024-05-26,4537769538885163906898768401836322976193114338273264147746088063279656611139,,0,0x098e5d99a4abce070910f640ad4a6b65f9f43fbe,136045830423247375980
2,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0x69bc40cf4aa9c84119c63c9fae7d2a342257329c2e63b638f39ff506f336f899,0x098e5d99a4abce070910f640ad4a6b65f9f43fbe,0xcdf27f107725988f2261ce2256bdfcde8b382b10,319,2024-05-26 05:50:53.000 UTC,120551938.0,2024-05-26,6975052961793121236744122111241179429220183353809219742149740939877970567765,,2,0x098e5d99a4abce070910f640ad4a6b65f9f43fbe,136045830423247375980
3,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0x9fd63b4b6bfb2033fb4bfcd52ed50ef0363fdb054c65d4b017a62f7356a7e474,0x9d843dc7c1198031ec4371e9fd80cb9745a1c59e,0xcdf27f107725988f2261ce2256bdfcde8b382b10,22,2024-05-26 05:51:25.000 UTC,120551954.0,2024-05-26,89250535338859095270968116984279971013811713632639468811376241520756760598962,,1,0x9d843dc7c1198031ec4371e9fd80cb9745a1c59e,25467826708402593654
4,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0xb5e9fa89874667214c61d14b84dad162e2c286f4780f3fa5744ae3f814197f61,0x098e5d99a4abce070910f640ad4a6b65f9f43fbe,0xcdf27f107725988f2261ce2256bdfcde8b382b10,3,2024-05-26 05:51:35.000 UTC,120551959.0,2024-05-26,46662599590868619415724059715206858415123913604990481279137083354870809650669,,1,0x098e5d99a4abce070910f640ad4a6b65f9f43fbe,136045830423247375980
5,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0xf7930c7310c73a3dd937cd4b5e9239eb95a7bfd5c8eb55ddad1c660b5f4a5cb5,0x9d843dc7c1198031ec4371e9fd80cb9745a1c59e,0xcdf27f107725988f2261ce2256bdfcde8b382b10,2,2024-05-26 05:51:51.000 UTC,120551967.0,2024-05-26,47257038716514883626179774712509684309799801257166588609178192779726195852111,,1,0x9d843dc7c1198031ec4371e9fd80cb9745a1c59e,25467826708402593654
6,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0x69e86dee100df7f4e01fa6e0c741716006ffb6f957438fff5f92f3fa895f3f34,0x098e5d99a4abce070910f640ad4a6b65f9f43fbe,0xcdf27f107725988f2261ce2256bdfcde8b382b10,3,2024-05-26 05:52:33.000 UTC,120551988.0,2024-05-26,105090569675606228680479820654354019470447822380910214626164858605991232311940,"The budget (8,000 OP per member) seems reasonable given the wide scope of action. Very well-thought conflict resolution process, including mediation services. I'm voting YES.",1,0x098e5d99a4abce070910f640ad4a6b65f9f43fbe,136045830423247375980
7,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0x6fd439cedade1e87883bea2e09c9680f1ba4095a682d98fe6147384ee5dd1177,0x098e5d99a4abce070910f640ad4a6b65f9f43fbe,0xcdf27f107725988f2261ce2256bdfcde8b382b10,32,2024-05-26 05:53:13.000 UTC,120552008.0,2024-05-26,89250535338859095270968116984279971013811713632639468811376241520756760598962,,1,0x098e5d99a4abce070910f640ad4a6b65f9f43fbe,136045830423247375980
8,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0x3fd621626022065766415c9d35b45c8d3d53b1a39998b43d6f0ed0d57ebbdbb2,0x098e5d99a4abce070910f640ad4a6b65f9f43fbe,0xcdf27f107725988f2261ce2256bdfcde8b382b10,1,2024-05-26 05:53:41.000 UTC,120552022.0,2024-05-26,47257038716514883626179774712509684309799801257166588609178192779726195852111,,0,0x098e5d99a4abce070910f640ad4a6b65f9f43fbe,136045830423247375980
9,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0x4c876d3494213a9f0cf08dc6246c94f09f5b34685b4e0f2e3fc8305f86fcd383,0x3fd3dcd7bda97a7627264adcad23e513517e8f35,0xcdf27f107725988f2261ce2256bdfcde8b382b10,1,2024-05-26 05:55:53.000 UTC,120552088.0,2024-05-26,4537769538885163906898768401836322976193114338273264147746088063279656611139,"I support these budgets. Giving double the grant allocation to other chains in the Superchain is a bold move, but I think it's the right direction to grow - this horizontal scaling is totally necessary.",1,0x3fd3dcd7bda97a7627264adcad23e513517e8f35,121073710529767255764
