,delegate,delegate_rank,delegate_name,delegator_link,col1,dt_voting_power,pct_voting_power,col2,vp_change_30d,pct_vp_change_30d,col3,num_delegators,pct_delegators,delegate_name_raw,delegate_address,rn,running_pct_voting_power,running_dt_voting_power,num_delegates_to_majority,num_delegates_to_quorum
10,0x4f41877773e44f2275da1942fee898556821bf66,11,"<a href=""https://vote.optimism.io/delegates/0x4f41877773e44f2275da1942fee898556821bf66"" target =""_blank"">Jack Anorak - jackanorak.eth - 0x4f...bf66</a>",<a href='https://dune.com/oplabspbc/op-token-house-top-delegators-by-delegate?Delegate=0x4f41877773e44f2275da1942fee898556821bf66' target='_blank'>🔗 ✨</a>,|,1820752.5271504289,0.0203349111756179,|,59252.473283059895,0.033637508640985414,|,1825,0.0024047488849212,Jack Anorak,0x4f41877773e44f2275da1942fee898556821bf66,1,0.5057237622047546,45281624.79403338,11,4
11,0x406b607644c5d7bfda95963201e45a4c6ab1c159,12,"<a href=""https://vote.optimism.io/delegates/0x406b607644c5d7bfda95963201e45a4c6ab1c159"" target =""_blank"">OPSNXambassadors - OPSNXambassadors.eth - 0x40...c159</a>",<a href='https://dune.com/oplabspbc/op-token-house-top-delegators-by-delegate?Delegate=0x406b607644c5d7bfda95963201e45a4c6ab1c159' target='_blank'>🔗 ✨</a>,|,1689011.9943088945,0.0188635788591093,|,-34780.46920368145,-0.020176714969973364,|,81831,0.1078263046586244,OPSNXambassadors,0x406b607644c5d7bfda95963201e45a4c6ab1c159,1,0.524587341063864,46970636.78834228,11,4
12,0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,13,"<a href=""https://vote.optimism.io/delegates/0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0"" target =""_blank"">Scott Moore - ceresstation.eth - 0x48...fab0</a>",<a href='https://dune.com/oplabspbc/op-token-house-top-delegators-by-delegate?Delegate=0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0' target='_blank'>🔗 ✨</a>,|,1645681.9597221622,0.0183796512569674,|,37411.45577407908,0.023261917495992802,|,6669,0.008787545377282,Scott Moore,0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,1,0.5429669923208315,48616318.74806444,11,4
13,0xed11e5ea95a5a3440fbaadc4cc404c56d0a5bb04,14,"<a href=""https://vote.optimism.io/delegates/0xed11e5ea95a5a3440fbaadc4cc404c56d0a5bb04"" target =""_blank"">she256 - she256.eth - 0xed...bb04</a>",<a href='https://dune.com/oplabspbc/op-token-house-top-delegators-by-delegate?Delegate=0xed11e5ea95a5a3440fbaadc4cc404c56d0a5bb04' target='_blank'>🔗 ✨</a>,|,1266807.718580184,0.0141482283010924,|,1182.9837001252454,0.0009347033662686395,|,1001,0.0013189882924965,she256,0xed11e5ea95a5a3440fbaadc4cc404c56d0a5bb04,1,0.5571152206219239,49883126.46664462,11,4
14,0x070341aa5ed571f0fb2c4a5641409b1a46b4961b,15,"<a href=""https://vote.optimism.io/delegates/0x070341aa5ed571f0fb2c4a5641409b1a46b4961b"" target =""_blank"">Penn Blockchain - UPennBlockchain.eth - 0x07...961b</a>",<a href='https://dune.com/oplabspbc/op-token-house-top-delegators-by-delegate?Delegate=0x070341aa5ed571f0fb2c4a5641409b1a46b4961b' target='_blank'>🔗 ✨</a>,|,1238619.3177380487,0.0138334086763713,|,-2869.239075925434,-0.0023111280890810203,|,2701,0.0035590283496834,Penn Blockchain,0x070341aa5ed571f0fb2c4a5641409b1a46b4961b,1,0.5709486292982952,51121745.78438267,11,4
15,0x6eda5acaff7f5964e1ecc3fd61c62570c186ca0c,16,"<a href=""https://vote.optimism.io/delegates/0x6eda5acaff7f5964e1ecc3fd61c62570c186ca0c"" target =""_blank"">Michael Vander Meiden - shrub.eth - 0x6e...ca0c</a>",<a href='https://dune.com/oplabspbc/op-token-house-top-delegators-by-delegate?Delegate=0x6eda5acaff7f5964e1ecc3fd61c62570c186ca0c' target='_blank'>🔗 ✨</a>,|,1210264.8589552338,0.0135167344484444,|,-19773.86691755149,-0.01607580842913768,|,1873,0.0024679970747712,Michael Vander Meiden,0x6eda5acaff7f5964e1ecc3fd61c62570c186ca0c,1,0.5844653637467396,52332010.64333791,11,4
16,0x94db037207f6fb697dbd33524aadffd108819dc8,17,"<a href=""https://vote.optimism.io/delegates/0x94db037207f6fb697dbd33524aadffd108819dc8"" target =""_blank"">Joxes | DeFi LATAM - joxes.defilatam.eth - 0x94...9dc8</a>",<a href='https://dune.com/oplabspbc/op-token-house-top-delegators-by-delegate?Delegate=0x94db037207f6fb697dbd33524aadffd108819dc8' target='_blank'>🔗 ✨</a>,|,1187390.05693023,0.0132612592751839,|,6106.521701534046,0.005169395424064575,|,1340,0.001765678633312,Joxes | DeFi LATAM,0x94db037207f6fb697dbd33524aadffd108819dc8,1,0.5977266230219236,53519400.70026813,11,4
17,0x3d2d722b443a5cae8e41877bb7cd649f3650937c,18,"<a href=""https://vote.optimism.io/delegates/0x3d2d722b443a5cae8e41877bb7cd649f3650937c"" target =""_blank"">PoolCollective - 0x3d...937c</a>",<a href='https://dune.com/oplabspbc/op-token-house-top-delegators-by-delegate?Delegate=0x3d2d722b443a5cae8e41877bb7cd649f3650937c' target='_blank'>🔗 ✨</a>,|,1167114.1077462966,0.0130348091566156,|,506.4523039977066,0.00043412393329931827,|,1299,0.0017116541378151,PoolCollective,0x3d2d722b443a5cae8e41877bb7cd649f3650937c,1,0.6107614321785393,54686514.80801443,11,4
18,0x7fc80fad32ec41fd5cfcc14eee9c31953b6b4a8b,19,"<a href=""https://vote.optimism.io/delegates/0x7fc80fad32ec41fd5cfcc14eee9c31953b6b4a8b"" target =""_blank"">brichis.eth - 0x7f...4a8b</a>",<a href='https://dune.com/oplabspbc/op-token-house-top-delegators-by-delegate?Delegate=0x7fc80fad32ec41fd5cfcc14eee9c31953b6b4a8b' target='_blank'>🔗 ✨</a>,|,1091315.883942407,0.0121882634974238,|,17896.855406247545,0.016672757730644857,|,120,0.0001581204746249,brichis.eth,0x7fc80fad32ec41fd5cfcc14eee9c31953b6b4a8b,1,0.6229496956759631,55777830.69195684,11,4
19,0xb55a948763e0d386b6defcd8070a522216ae42b1,20,"<a href=""https://vote.optimism.io/delegates/0xb55a948763e0d386b6defcd8070a522216ae42b1"" target =""_blank"">Reverie - reveriegov.eth - 0xb5...42b1</a>",<a href='https://dune.com/oplabspbc/op-token-house-top-delegators-by-delegate?Delegate=0xb55a948763e0d386b6defcd8070a522216ae42b1' target='_blank'>🔗 ✨</a>,|,1086812.4811914775,0.0121379676480085,|,-3894.552973408252,-0.003570668246758092,|,1283,0.0016905714078651,Reverie,0xb55a948763e0d386b6defcd8070a522216ae42b1,1,0.6350876633239717,56864643.17314832,11,4
